starname,rp,rp_err1,rp_err2,mp,mp_err1,mp_err2,ror,ror_err1,ror_err2,rs,rs_err1,rs_err2,ms,ms_err1,ms_err2,p,disc_method,temp,mag,ref,instrument,system_disc_method
L 168-9,1.390,0.090,-0.090,4.60000,0.56000,-0.56000,0.02120,0.00100,-0.00100,0.60,0.02,-0.02,0.62,0.03,-0.03,1.40150000,Transit,3800.00,11.0050000,<a refstr=ASTUDILLO_DEFRU_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..58A/abstract target=ref>Astudillo-Defru et al. 2020</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
L 98-59,0.800,0.050,-0.050,1.01000,,,,,,0.31,0.01,-0.01,0.31,0.03,-0.03,2.25310000,Transit,3412.00,11.6850000,<a refstr=CLOUTIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...629A.111C/abstract target=ref>Cloutier et al. 2019</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
L 98-59,1.350,0.070,-0.070,2.42000,0.35000,-0.34000,,,,0.31,0.01,-0.01,0.31,0.03,-0.03,3.69040000,Transit,3412.00,11.6850000,<a refstr=CLOUTIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...629A.111C/abstract target=ref>Cloutier et al. 2019</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
L 98-59,1.570,0.140,-0.140,2.31000,0.46000,-0.45000,,,,0.31,0.01,-0.01,0.31,0.03,-0.03,7.45120000,Transit,3412.00,11.6850000,<a refstr=CLOUTIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...629A.111C/abstract target=ref>Cloutier et al. 2019</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
LHS 1140,1.727,0.032,-0.032,6.98000,0.89000,-0.89000,0.07390,0.00008,-0.00008,0.21,0.00,0.00,0.18,0.01,-0.01,24.73695900,Transit,3216.00,14.1500000,<a refstr=MENT_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...32M/abstract target=ref>Ment et al. 2019</a>,MEarth Project,Transit
LHS 1140,1.282,0.024,-0.024,1.81000,0.39000,-0.39000,0.05486,0.00013,-0.00013,0.21,0.00,0.00,0.18,0.01,-0.01,3.77793100,Transit,3216.00,14.1500000,<a refstr=MENT_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...32M/abstract target=ref>Ment et al. 2019</a>,Multiple Observatories,Transit
LHS 1815,1.088,0.064,-0.064,8.70000,,,0.01990,0.00090,-0.00090,0.50,0.03,-0.03,0.50,0.01,-0.01,3.81433000,Transit,3643.00,12.1670000,<a refstr=GAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..160G/abstract target=ref>Gan et al. 2020</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
LHS 3844,1.303,0.022,-0.022,,,,0.06350,0.00090,-0.00090,0.19,0.01,-0.01,0.15,0.01,-0.01,0.46292913,Transit,3036.00,15.2400000,<a refstr=VANDERSPEK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...871L..24V/abstract target=ref>Vanderspek et al. 2019</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
LP 791-18,1.120,0.130,-0.130,,,,0.06040,0.00280,-0.00280,0.17,0.02,-0.02,0.14,0.01,-0.01,0.94800500,Transit,2960.00,16.9100000,<a refstr=CROSSFIELD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883L..16C/abstract target=ref>Crossfield et al. 2019</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
LP 791-18,2.310,0.250,-0.250,,,,0.12380,0.00220,-0.00220,0.17,0.02,-0.02,0.14,0.01,-0.01,4.98996300,Transit,2960.00,16.9100000,<a refstr=CROSSFIELD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883L..16C/abstract target=ref>Crossfield et al. 2019</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
LSPM J2116+0234,,,,13.30000,1.00000,-1.10000,,,,0.43,0.01,-0.01,0.43,0.03,-0.03,14.43990000,Radial Velocity,3475.00,11.9610000,<a refstr=LALITHA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A.116L/abstract target=ref>Lalitha et al. 2019</a>,Calar Alto Observatory,Radial Velocity
LTT 1445 A,1.380,0.130,-0.120,2.20000,1.70000,-2.10000,0.04580,0.00120,-0.00110,0.28,0.02,-0.02,0.26,0.01,-0.01,5.35882000,Transit,3337.00,10.5900000,<a refstr=WINTERS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..152W/abstract target=ref>Winters et al. 2019</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
LTT 3780,1.332,0.072,-0.075,2.62000,0.48000,-0.46000,0.03300,0.00140,-0.00160,0.37,0.01,-0.01,0.40,0.01,-0.01,0.76844800,Transit,3331.00,13.1400000,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
LTT 3780,2.300,0.160,-0.150,8.60000,1.60000,-1.30000,0.05700,0.00350,-0.00330,0.37,0.01,-0.01,0.40,0.01,-0.01,12.25190000,Transit,3331.00,13.1400000,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
LTT 9779,4.720,0.230,-0.230,29.32000,0.78000,-0.81000,0.04550,0.00220,-0.00170,0.95,0.01,-0.01,0.77,0.29,-0.21,0.79205200,Transit,5443.00,9.7900000,<a refstr=JENKINS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs.tmp..180J/abstract target=ref>Jenkins et al. 2020</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
Lupus-TR-3,9.976,0.785,-0.785,257.43100,57.20700,-57.20700,,,,0.82,0.05,,0.87,0.04,,3.91405000,Transit,5000.00,19.6202000,<a refstr=WELDRAKE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...675L..37W/abstract target=ref> Weldrake et al. 2008 </a>,Multiple Observatories,Transit
MASCARA-1,16.814,3.363,-3.363,1175.97100,286.04700,-286.04700,0.07350,0.00070,-0.00070,2.10,0.20,-0.20,1.72,0.07,-0.07,2.14878000,Transit,7554.00,8.2800000,<a refstr=TALENS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...606A..73T/abstract target=ref>Talens et al. 2017</a>,Multiple Observatories,Transit
MASCARA-4,17.150,0.785,-0.448,985.27300,286.04700,-286.04700,0.08000,0.00400,-0.00200,1.92,0.11,-0.11,1.75,0.05,-0.05,2.82406000,Transit,7800.00,8.1910000,<a refstr=DORVAL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A..60D/abstract target=ref>Dorval et al. 2020</a>,Multiple Observatories,Transit
NGC 2682 Sand 364,,,,2126.28270,2580.77960,-2580.77960,,,,39.59,35.82,-35.82,9.06,16.45,-16.45,121.71000000,Radial Velocity,4284.00,9.6160000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Multiple Observatories,Radial Velocity
NGC 2682 Sand 978,,,,692.86940,54.03110,-54.03110,,,,,,,1.37,0.02,-0.02,511.21000000,Radial Velocity,4200.00,9.8140000,<a refstr=BRUCALASSI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...603A..85B/abstract target=ref>Brucalassi et al. 2017</a>,Multiple Observatories,Radial Velocity
NGC 2682 YBP 1194,,,,101.70560,9.53490,-9.53490,,,,,,,1.01,0.02,-0.02,6.95900000,Radial Velocity,5780.00,14.5690000,<a refstr=BRUCALASSI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...592L...1B/abstract target=ref>Brucalassi et al. 2016</a>,Multiple Observatories,Radial Velocity
NGC 2682 YBP 1514,,,,127.13200,120.77540,-120.77540,,,,,,,0.96,0.01,-0.01,5.11800000,Radial Velocity,5725.00,14.6840000,<a refstr=BRUCALASSI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...592L...1B/abstract target=ref>Brucalassi et al. 2016</a>,Multiple Observatories,Radial Velocity
NGC 2682 YBP 401,,,,146.20180,15.89150,-15.89150,,,,,,,1.14,0.02,-0.02,4.08700000,Radial Velocity,6165.00,13.6990000,<a refstr=BRUCALASSI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...592L...1B/abstract target=ref>Brucalassi et al. 2016</a>,La Silla Observatory,Radial Velocity
NGTS-1,14.908,6.837,-3.699,258.07796,20.97678,-23.83725,0.23900,0.10000,-0.05400,0.57,0.08,-0.08,0.62,0.02,-0.06,2.64729800,Transit,3916.00,15.6670000,<a refstr=BAYLISS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4467B/abstract target=ref>Bayliss et al. 2018</a>,Paranal Observatory,Transit
NGTS-10,13.507,1.311,-0.930,687.14846,29.24036,-34.00781,0.17650,0.01100,-0.00700,0.70,0.04,-0.04,0.70,0.04,-0.04,0.76689440,Transit,4600.00,14.5060000,<a refstr=MCCORMAC_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..126M/abstract target=ref>McCormac et al. 2020</a>,Paranal Observatory,Transit
NGTS-11,9.158,0.314,-0.359,109.33352,29.24036,-23.20159,0.10100,0.00300,-0.00370,0.83,0.01,-0.01,0.86,0.03,-0.03,35.45533000,Transit,5050.00,12.4560000,<a refstr=GILL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200500006G/abstract target=ref>Gill et al. 2020</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
NGTS-12,11.747,0.359,-0.359,66.10864,6.99226,-6.99226,0.06780,0.00120,-0.00120,1.59,0.04,-0.04,1.02,0.06,-0.05,7.53280600,Transit,5690.00,12.3820000,<a refstr=BRYANT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.tmp.2785B/abstract target=ref>Bryant et al. 2020</a>,Paranal Observatory,Transit
NGTS-2,17.878,0.527,-0.504,235.19420,41.31790,-38.13960,0.09619,0.00114,-0.00088,1.70,0.05,-0.04,1.64,0.19,-0.22,4.51116400,Transit,6478.00,10.7890000,<a refstr=RAYNARD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.481.4960R/abstract target=ref>Raynard et al. 2018</a>,Paranal Observatory,Transit
NGTS-3 A,16.589,4.147,-4.147,756.43540,82.63580,-82.63580,0.16380,0.00450,-0.00450,0.93,0.23,-0.23,1.02,0.09,-0.09,1.67537280,Transit,5600.00,14.6690000,<a refstr=G_UUML_NTHER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.478.4720G/abstract target=ref>G&uuml;nther et al. 2018</a>,Paranal Observatory,Transit
NGTS-4,3.180,0.260,-0.260,20.60000,3.00000,-3.00000,0.03500,0.00300,-0.00300,0.84,0.01,-0.01,0.75,0.02,-0.02,1.33735080,Transit,5143.00,13.1380000,<a refstr=WEST_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.5094W/abstract target=ref>West et al. 2019</a>,Paranal Observatory,Transit
NGTS-5,12.733,0.258,-0.258,72.78307,11.75971,-11.75971,0.15790,0.00160,-0.00160,0.74,0.01,-0.01,0.66,0.07,-0.06,3.35698660,Transit,4987.00,13.7890000,<a refstr=EIGM_UUML_LLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A.142E/abstract target=ref>Eigm&uuml;ller et al. 2019</a>,Paranal Observatory,Transit
NGTS-6,14.863,1.087,-1.255,425.57437,8.89924,-8.89924,,,,0.75,0.01,-0.01,0.77,0.03,-0.03,0.88205900,Transit,4730.00,14.2370000,<a refstr=VINES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.489.4125V/abstract target=ref>Vines et al. 2019</a>,Paranal Observatory,Transit
NGTS-8,12.218,0.336,-0.336,295.58190,12.71320,-9.53490,0.11400,0.00200,-0.00200,0.98,0.02,-0.02,0.89,0.05,-0.04,2.49970000,Transit,5241.00,13.6900000,<a refstr=COSTES_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.491.2834C/abstract target=ref>Costes et al. 2020</a>,Paranal Observatory,Transit
NGTS-9,11.994,0.673,-0.673,921.70700,54.03110,-54.03110,0.08000,0.00400,-0.00400,1.38,0.04,-0.04,1.34,0.05,-0.05,4.43527000,Transit,6330.00,12.8680000,<a refstr=COSTES_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.491.2834C/abstract target=ref>Costes et al. 2020</a>,Paranal Observatory,Transit
OGLE-TR-10,14.011,1.569,-1.345,197.04600,44.49400,-44.49400,,,,1.17,0.13,,1.14,0.12,,3.10127800,Transit,5950.00,16.0060000,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,OGLE,Transit
OGLE-TR-111,11.422,0.291,-0.291,,,,0.12610,0.00100,-0.00110,0.83,0.02,-0.02,,,,4.01444630,Transit,,16.7070000,<a refstr=ADAMS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1003.0457A/abstract target=ref> Adams et al. 2010 </a>,OGLE,Transit
OGLE-TR-113,12.251,0.314,-0.213,400.44900,50.85100,-50.85100,,,,0.77,0.02,,0.78,0.02,,1.43247520,Transit,4790.00,15.8485000,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,OGLE,Transit
OGLE-TR-132,13.450,1.680,-1.230,375.02000,44.49000,-41.32000,0.09320,0.00150,-0.00200,1.32,0.17,-0.12,1.30,0.07,-0.07,1.68986800,Transit,6210.00,16.5360000,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,OGLE,Transit
OGLE-TR-182,12.666,2.690,-0.897,320.99500,47.67200,-47.67200,,,,1.14,0.23,,1.14,0.05,,3.97910000,Transit,5924.00,16.9195000,<a refstr=PONT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...487..749P/abstract target=ref> Pont et al. 2008 </a>,OGLE,Transit
OGLE-TR-211,15.244,2.018,-1.009,327.35100,63.56300,-63.56300,,,,1.64,0.21,,1.33,0.05,,3.67724000,Transit,6325.00,15.3640000,<a refstr=UDALSKI_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482..299U/abstract target=ref> Udalski et al. 2008 </a>,OGLE,Transit
OGLE-TR-56,15.278,0.009,-0.009,441.77000,57.21000,-54.03000,0.10270,0.00190,-0.00190,,,,,,,1.21191890,Transit,6050.00,,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,OGLE,Transit
OGLE2-TR-L9,18.046,0.448,-0.448,1430.17500,476.72500,-476.72500,,,,1.53,0.04,,1.52,0.08,,2.48553350,Transit,6933.00,14.7180000,<a refstr=SNELLEN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...497..545S/abstract target=ref> Snellen et al. 2009 </a>,OGLE,Transit
PH1,6.180,0.170,-0.170,169.00000,,,0.03268,0.00032,-0.00032,1.73,0.04,-0.04,1.53,0.09,-0.09,138.31700000,Transit,6407.00,13.8410000,<a refstr=SCHWAMB_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...768..127S/abstract target=ref> Schwamb et al. 2013 </a>,Kepler,Transit
PH2,10.120,0.560,-0.560,,,,0.09200,0.00020,-0.00040,1.00,0.05,-0.05,0.94,0.02,-0.02,282.52550000,Transit,5629.00,12.6450000,<a refstr=WANG_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...776...10W/abstract target=ref> Wang et al. 2013 </a>,Kepler,Transit
POTS-1,10.548,0.404,-0.527,734.16000,244.72000,-244.72000,0.16432,0.00176,-0.00218,0.59,0.02,-0.03,0.69,0.05,-0.05,3.16062960,Transit,4400.00,17.9083000,<a refstr=KOPPENHOEFER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3133K/abstract target=ref> Koppenhoefer et al. 2013 </a>,La Silla Observatory,Transit
Pr0201,,,,171.62820,38.13960,-38.13960,,,,1.15,0.12,-0.12,1.24,0.39,-0.39,4.42640000,Radial Velocity,6174.00,10.4450000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Fred Lawrence Whipple Observatory,Radial Velocity
Pr0211,,,,597.52040,9.53490,-9.53490,,,,0.83,0.01,-0.01,0.94,0.01,-0.01,2.14610000,Radial Velocity,5300.00,12.1630000,<a refstr=MALAVOLTA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.118M/abstract target=ref>Malavolta et al. 2016</a>,Fred Lawrence Whipple Observatory,Radial Velocity
Pr0211,,,,2475.89570,104.88390,-104.88390,,,,0.83,0.01,-0.01,0.94,0.01,-0.01,4850.00000000,Radial Velocity,5300.00,12.1630000,<a refstr=MALAVOLTA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.118M/abstract target=ref>Malavolta et al. 2016</a>,Roque de los Muchachos Observatory,Radial Velocity
Proxima Cen,,,,1.27000,0.19000,-0.17000,,,,0.14,0.02,-0.02,0.12,0.01,-0.01,11.18600000,Radial Velocity,3050.00,11.0100000,<a refstr=ANGLADA_ESCUD_EACUTE__ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.536..437A/abstract target=ref>Anglada-Escud&eacute; et al. 2016</a>,European Southern Observatory,Radial Velocity
Qatar-1,12.812,0.291,-0.280,411.27202,16.52716,-15.57367,0.14629,0.00063,-0.00064,0.80,0.02,-0.02,0.84,0.04,-0.04,1.42002420,Transit,5013.00,12.6920000,<a refstr=COLLINS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...78C/abstract target=ref>Collins et al. 2017</a>,Qatar,Transit
Qatar-10,17.295,0.448,-0.448,233.92288,28.60470,-28.60470,0.12650,0.00100,-0.00100,1.25,0.03,-0.03,1.16,0.07,-0.07,1.64532100,Transit,6124.00,12.8680000,<a refstr=ALSUBAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..224A/abstract target=ref>Alsubai et al. 2019</a>,Qatar,Transit
Qatar-2,14.056,0.146,-0.146,792.63500,17.16200,-17.16200,0.16590,0.00044,-0.00044,0.78,0.01,-0.01,0.74,0.02,-0.02,1.33711647,Transit,4645.00,13.4430000,<a refstr=MANCINI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.443.2391M/abstract target=ref>Mancini et al. 2014</a>,Qatar,Transit
Qatar-3,12.285,1.569,-1.569,1369.84730,149.38010,-149.38010,0.08880,0.00180,-0.00180,1.27,0.14,-0.14,1.15,0.06,-0.06,2.50792040,Transit,6007.00,12.9290000,<a refstr=ALSUBAI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..200A/abstract target=ref>Alsubai et al. 2017</a>,Qatar,Transit
Qatar-4,12.722,1.233,-1.233,1938.76300,171.62820,-171.62820,0.13790,0.00300,-0.00300,0.85,0.06,-0.06,0.90,0.05,-0.05,1.80535640,Transit,5215.00,13.5740000,<a refstr=ALSUBAI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..200A/abstract target=ref>Alsubai et al. 2017</a>,Qatar,Transit
Qatar-5,12.408,0.717,-0.717,1373.02560,57.20940,-57.20940,0.10610,0.00130,-0.00130,1.08,0.05,-0.05,1.13,0.06,-0.06,2.87923190,Transit,5747.00,12.6140000,<a refstr=ALSUBAI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..200A/abstract target=ref>Alsubai et al. 2017</a>,Qatar,Transit
Qatar-6,11.904,0.796,-0.796,212.31044,20.97678,-20.97678,0.15100,0.00700,-0.00700,0.72,0.02,-0.02,0.82,0.02,-0.02,3.50619500,Transit,5052.00,11.4960000,<a refstr=ALSUBAI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...52A/abstract target=ref>Alsubai et al. 2018</a>,Qatar,Transit
Qatar-7,19.055,0.336,-0.336,597.52040,79.45750,-79.45750,0.11000,0.00100,-0.00100,1.56,0.02,-0.02,1.41,0.03,-0.03,2.03204600,Transit,6387.00,13.1340000,<a refstr=ALSUBAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...74A/abstract target=ref>Alsubai et al. 2019</a>,Qatar,Transit
Qatar-8,14.404,0.247,-0.247,117.91493,19.70546,-19.70546,0.10050,0.00080,-0.00080,1.31,0.02,-0.02,1.03,0.05,-0.05,3.71495000,Transit,5738.00,11.7100000,<a refstr=ALSUBAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..224A/abstract target=ref>Alsubai et al. 2019</a>,Qatar,Transit
Qatar-9,11.310,0.157,-0.157,378.21770,50.85280,-50.85280,0.14890,0.00090,-0.00090,0.70,0.01,-0.01,0.72,0.02,-0.02,1.54073100,Transit,4309.00,14.0230000,<a refstr=ALSUBAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..224A/abstract target=ref>Alsubai et al. 2019</a>,Qatar,Transit
Ross 128,,,,1.40000,0.21000,-0.21000,,,,0.20,0.01,-0.01,0.17,0.02,-0.02,9.86580000,Radial Velocity,3192.00,11.1200000,<a refstr=BONFILS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..25B/abstract target=ref>Bonfils et al. 2018</a>,La Silla Observatory,Radial Velocity
SWEEPS-11,12.666,2.354,-2.354,3082.82000,1779.77000,-1430.17000,,,,1.45,,,1.10,,,1.79600000,Transit,,,<a refstr=SAHU_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006Natur.443..534S/abstract target=ref>Sahu et al. 2006</a>,Hubble Space Telescope,Transit
SWEEPS-4,9.079,1.121,-1.121,1207.70000,,,,,,1.18,,,1.24,,,4.20000000,Transit,,,<a refstr=SAHU_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006Natur.443..534S/abstract target=ref>Sahu et al. 2006</a>,Hubble Space Telescope,Transit
TAP 26,,,,527.59780,98.52730,-98.52730,,,,1.17,0.17,-0.17,1.04,0.10,-0.10,10.79000000,Radial Velocity,4620.00,12.5000000,<a refstr=YU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.1342Y/abstract target=ref>Yu et al. 2017</a>,Multiple Facilities,Radial Velocity
TOI-1130,3.650,0.100,-0.100,,,,0.04860,0.00111,-0.00090,0.69,0.01,-0.01,0.68,0.02,-0.02,4.06649900,Transit,4250.00,11.5950000,<a refstr=HUANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...892L...7H/abstract target=ref>Huang et al. 2020</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1130,16.814,3.026,-2.466,309.56642,13.66669,-13.98452,0.21800,0.03700,-0.02900,0.69,0.01,-0.01,0.68,0.02,-0.02,8.35038100,Transit,4250.00,11.5950000,<a refstr=HUANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...892L...7H/abstract target=ref>Huang et al. 2020</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1235,1.738,0.087,-0.076,6.91000,0.75000,-0.85000,0.02540,0.00090,-0.00090,0.63,0.01,-0.01,0.64,0.02,-0.02,3.44472900,Transit,3872.00,11.4950000,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...22C/abstract target=ref>Cloutier et al. 2020</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-125,2.726,0.075,-0.075,9.50000,0.88000,-0.88000,0.02950,0.00070,-0.00070,0.85,0.01,-0.01,0.86,0.04,-0.04,4.65382000,Transit,5320.00,11.0230000,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-125,2.759,0.100,-0.100,6.63000,0.99000,-0.99000,0.02985,0.00099,-0.00099,0.85,0.01,-0.01,0.86,0.04,-0.04,9.15059000,Transit,5320.00,11.0230000,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-125,2.930,0.170,-0.170,13.60000,1.20000,-1.20000,0.03170,0.00180,-0.00180,0.85,0.01,-0.01,0.86,0.04,-0.04,19.98000000,Transit,5320.00,11.0230000,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1266,2.370,0.160,-0.120,13.50000,11.00000,-9.00000,,,,0.42,0.02,-0.02,0.45,0.03,-0.03,10.89484300,Transit,3600.00,12.9410000,<a refstr=DEMORY_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200904317D/abstract target=ref>Demory et al. 2020</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1266,1.560,0.150,-0.130,2.20000,2.00000,-1.50000,,,,0.42,0.02,-0.02,0.45,0.03,-0.03,18.80151000,Transit,3600.00,12.9410000,<a refstr=DEMORY_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200904317D/abstract target=ref>Demory et al. 2020</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-132,3.420,0.130,-0.140,22.40000,1.90000,-1.92000,,,,0.90,0.02,-0.02,0.97,0.06,-0.06,2.10970190,Transit,5397.00,11.1970000,<a refstr=D_IACUTE_AZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..973D/abstract target=ref>D&iacute;az et al. 2020</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-1338,6.850,0.190,-0.190,33.00000,20.30000,-19.60000,0.04724,0.00100,-0.00103,1.33,0.02,-0.03,1.13,0.07,-0.07,95.17400000,Transit,6050.00,11.7220000,<a refstr=KOSTOV_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..253K/abstract target=ref>Kostov et al. 2020</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
TOI-150,14.067,0.235,-0.213,797.75330,38.13960,-38.13960,0.08260,0.00120,-0.00110,1.53,0.01,-0.01,1.35,0.04,-0.03,5.85748700,Transit,6255.00,11.3900000,<a refstr=KOSSAKOWSKI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.1094K/abstract target=ref>Kossakowski et al. 2019</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
